PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
236302340,20187469,14,2020-10-07T10:00:00,"1900 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1917,4,5,-80.0160585948811,40.4040374887942
236961127,20192057,18,2020-10-14T09:05:00,"Broad St & N Fairmount St Pittsburgh, PA 15206",Y,Garfield,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked.,1114,9,2,-79.9318778313444,40.4651353122593
237219691,20194392,6,2020-10-17T13:57:00,"Kilmer St & Eymard St Pittsburgh, PA 15221",N,East Hills,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1306,9,2,-79.8726505611246,40.4577294942716
237225488,20194469,20,2020-10-17T16:56:00,"900 Block Freeport Rd Pittsburgh, PA 15215",N,Lincoln-Lemington-Belmar,5,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,1201,9,2,-79.8923529450752,40.4861185015656
237228056,20194520,11,2020-10-17T18:19:00,"1400 Block Harris Ave Pittsburgh, PA 15205",N,Westwood,6,THEFT BY DECEPTION,3922 Theft by Deception.,2811,2,5,-80.0545374103665,40.4335303149284
237245083,20194972,14,2020-10-18T13:00:00,"Frew St Ext & Schenley Dr Pittsburgh, PA 15217",N,Squirrel Hill South,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1413,5,3,-79.9481885277887,40.4408070584254
237101732,20191695,27,2020-10-14T18:52:00,"3000 Block Middletown Rd Pittsburgh, PA 15204",N,Windgap,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2807,2,5,-80.0643190176973,40.4495884622898
237299516,20188732,4,2020-10-09T05:40:00,"3800 Block O Hara St Pittsburgh, PA 15213",Y,North Oakland,4,AGG-ASSAULT,2702 Aggravated Assault.,403,,,0,0
237537019,20196883,0,2020-10-21T10:36:00,"500 Block Oaklynn Ct Pittsburgh, PA 15216",Y,Banksville,6,99,9999 9999 - (Misc. Incident): ,2023,,,0,0
238286322,20202893,6,2020-10-30T09:30:00,"300 Block Mayfield Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2615,1,1,-80.013626017231,40.47357839446
238292620,20202876,6,2020-10-30T10:20:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 903 Criminal Conspiracy.",1115,9,2,-79.9221749446935,40.4651657848127
235944143,20184863,0,2020-10-03T03:50:00,"40 Block Reed St Pittsburgh, PA 15219",N,North Oakland,2,99,607.03 Discharging Firearm or Airgun / 8106 Shots Fired,404,,,-79.8734255821973,40.4360998771923
235959639,20185028,5,2020-10-03T11:30:00,"1100 Block Morningside Ave Pittsburgh, PA 15206",N,Morningside,5,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1014,7,2,-79.9311851896827,40.4774769761793
235967533,20185259,99,2020-10-03T19:09:00,"Baytree St & Bijou Way Pittsburgh, PA 15214",Y,Perry North,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked.,2602,1,1,-80.0178722796773,40.489496118209
237430087,20196342,15,2020-10-20T14:15:00,"Somers Dr & Wylie Ave Pittsburgh, PA 15219",Y,Central Business District,2,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 6117 Altering or Obliterating Marks of Identification. / 6110.1 Possesion of Firearm by Minor,201,6,3,-79.974335293936,40.4469881101738
237563734,20197047,6,2020-10-17T13:45:00,"1800 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1702,3,3,-79.9807087025252,40.4269507115421
237566758,20197062,27,2020-10-21T10:15:00,"Penn Ave & 23rd St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9814734594658,40.452831697947
237578999,20197083,0,2020-10-10T20:00:00,"Wenzell Ave & West Liberty Ave Pittsburgh, PA 15216",N,Beechview,6,99,1786 Required Financial Responsibility.,1920,4,5,-80.0261665210339,40.3983434163792
237581211,20197087,99,2020-10-21T16:14:00,"600 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,FOUND PROPERTY,9489 Found Property,2304,1,1,-80.0013495154314,40.4528425127738
236965649,20192122,99,2020-10-14T10:35:00,"7th St & Fort Duquesne Blvd Pittsburgh, PA 15222",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,201,6,6,-80.0008672588076,40.4446333846099
238383252,20204380,0,2020-10-30T12:00:00,"2800 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,9999 9999 - (Misc. Incident): Unvalidated Lottery Tickets,2904,4,3,-79.9775325525589,40.3834499866783
238383385,20204391,26,2020-11-01T12:23:00,"Chartiers Ave & Greenway Dr Pittsburgh, PA 15204",Y,Sheraden,6,CONCEALING DEATH BASTARD CHILD,4303 General Lighting Requirements. / 627.02(b)(i) Possessing a small amount of marijuana / 1543 Driving While Operating Privilege is Suspended or Revoked.,2018,2,5,-80.0512539520015,40.4515388806713
237084728,20192899,10,2020-10-15T14:04:00,"Mossfield St & Schenley Ave Pittsburgh, PA 15224",N,Central Lawrenceville,2,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,902,9,2,-79.9358431370457,40.4726775751401
237084875,20192843,10,2020-10-15T12:31:00,"Brighton Rd & Schimmer St Pittsburgh, PA 15212",N,Spring Garden,1,TERRORISTIC THREATS,2706 Terroristic Threats.,2412,1,1,-80.0287962205377,40.4736593076244
237101529,20193012,27,2020-10-15T15:30:00,"Bingham St & 9th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9898371374917,40.4294301677614
237106392,20193064,6,2020-10-15T10:00:00,"500 Block General Robinson St W Pittsburgh, PA 15212",N,North Shore,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2205,1,6,-80.0069557599542,40.4478011847948
237108302,20193085,10,2020-10-15T18:19:00,"7400 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2709(a) Harassment. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1302,9,2,-79.8918740327584,40.4563851569135
237108755,20192926,0,2020-10-15T11:15:00,"1000 Block Norwich Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): ,1918,4,5,-80.0208725753345,40.3883488034807
237108776,20193057,0,2020-10-15T18:00:00,"Lincoln Ave & Manning St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,99,1543 Driving While Operating Privilege is Suspended or Revoked. / 3334 Turning Movements and Required Signals. / 4524 Windshield Obstructions and Wipers.,1202,9,2,-79.8969319487772,40.4679045420787
237111544,20193073,23,2020-10-15T18:11:00,"100 Block 6th St Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,201,6,6,-80.0027419046433,40.4440473749963
237124821,20193360,10,2020-10-16T02:25:00,"1600 Block Crucible St Pittsburgh, PA 15220",N,Crafton Heights,6,HARRASSMENT,2709(a) Harassment. / 4906 False Reports to Law Enforcement Authorities.,2814,2,5,-80.0517211557198,40.4474571296139
236293405,20187403,6,2020-10-06T20:43:00,"900 Block Freeport Rd Pittsburgh, PA 15215",N,Lincoln-Lemington-Belmar,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1201,9,2,-79.8923529450752,40.4861185015656
236392927,20188123,99,2020-10-08T09:52:00,"4400 Block Centre Ave Pittsburgh, PA 15213",Y,North Oakland,4,MENTAL 201/302,9498 302 (Mental),403,8,3,-79.9535826174592,40.4511859232577
236897046,20191330,16,2020-10-13T07:25:00,"N Homewood Ave & Frankstown Ave Pittsburgh, PA 15208",Y,Homewood North,5,PROSTITUTION,5902(a)(2) Prostitution - Loitering for purpose of / 5902(a)(1) Prostitution  / 13(a)(32) Paraphernalia - Use or Possession,1302,9,2,-79.8963011488784,40.457404655664
236911489,20191553,0,2020-10-13T14:54:00,"Clifford St & Eider St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,8106 Shots Fired,1203,9,2,-79.903528024894,40.4684600746724
236930881,20191658,10,2020-10-13T17:40:00,"500 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT,2709(a) Harassment.,1918,4,5,-80.0236345649749,40.3962210607594
236933847,20191718,99,2020-10-13T19:23:00,"Federal Rue N & Hemlock St Pittsburgh, PA 15212",Y,Central North Side,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2206,1,1,-80.0072298295121,40.4572871920443
-3344048033,20191848,0,2020-10-13T23:57:00,"1700 Block Arlington Ave Pittsburgh, PA 15210",N,South Side Slopes,3,99,5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE / 9133 Noise Complaint - No Citation,1706,3,0,-79.9864357729389,40.4176189902752
236942817,20191871,99,2020-10-14T00:50:00,"1300 Block Superior Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2704,1,1,-80.0298823861196,40.4680195268034
236943149,20191949,24,2020-10-14T03:25:00,"1700 Block Arlington Ave Pittsburgh, PA 15210",N,South Side Slopes,3,DISORDERLY CONDUCT,5503 Disorderly Conduct. / 9999 9999 - (Misc. Incident): ,1706,3,0,-79.9864357729389,40.4176189902752
237249999,20195159,99,2020-10-18T18:00:00,"Market Pl & Forbes Ave Pittsburgh, PA 15222",N,Central Business District,2,LOST PROPERTY,9504 Lost Property,201,6,6,-80.0029611319642,40.4407983579103
237253014,20195242,99,2020-10-18T19:00:00,"300 Block Halket St Pittsburgh, PA 15213",N,South Oakland,4,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,409,3,3,-79.9615430224765,40.4370860222289
237253043,20195244,99,2020-10-18T19:00:00,"300 Block Halket St Pittsburgh, PA 15213",N,South Oakland,4,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,409,3,3,-79.9615430224765,40.4370860222289
237262666,20195406,6,2020-10-19T03:13:00,"300 Block Camfield Trl Pittsburgh, PA 15210",N,Bon Air,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1806,4,5,-79.9982589776839,40.4077702634015
237281430,20193905,27,2020-10-16T19:35:00,"Beechwood Blvd & Welfer St Pittsburgh, PA 15217",N,Greenfield,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1517,5,3,-79.9270357314437,40.4247819201829
236011322,20185654,29,2020-10-04T12:10:00,"7200 Block Tioga St Pittsburgh, PA 15208",N,Homewood South,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1303,,,0,0
236049571,20186034,0,2020-10-05T05:50:00,"2000 Block Brookfield Rd Pittsburgh, PA 15243",N,Outside City,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),5599,,,0,0
237582194,20197107,6,2020-10-20T23:20:00,"20 Block Richey Ave Pittsburgh, PA 15214",N,Perry North,1,THEFT FROM AUTO,3934 Theft from Vehicle,2607,1,1,-80.0150996482897,40.4870153288887
237583608,20197101,0,2020-10-21T16:30:00,"4700 Block Monongahela St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1501,5,3,-79.9437525947838,40.4134989946425
237585642,20197129,6,2020-10-21T01:30:00,"3700 Block Millerton Ave Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle,2701,1,1,-80.0457900385114,40.4815794987929
237591280,20197190,0,2020-10-21T18:55:00,"1500 Block Lowrie St Pittsburgh, PA 15212",Y,Troy Hill,1,99,9999 9999 - (Misc. Incident): ,2406,1,1,-79.9850564269765,40.4615845286472
237594278,20197202,6,2020-10-21T16:45:00,"1600 Block Lowrie St Pittsburgh, PA 15212",N,Troy Hill,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2406,1,1,-79.9835621773248,40.462751295377
237595105,20197203,6,2020-10-21T17:45:00,"2600 Block Tunnel Blvd Pittsburgh, PA 15203",Y,Bluff,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1609,,,0,0
237597516,20197206,0,2020-10-21T17:20:00,"Riverview Dr Pittsburgh, PA 15214",N,Perry North,1,99,9999 9999 - (Misc. Incident): ,2602,1,1,-80.0210625894851,40.484001261639
237597541,20197278,6,2020-10-21T00:01:00,"2900 Block Sussex Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1918,4,5,-80.0172598111994,40.3870859631909
237597706,20197279,0,2020-10-21T19:45:00,"Hobart Rd & Bartlett St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1413,5,3,-79.9365204654017,40.4328561224722
237157163,20193586,6,2020-10-14T12:00:00,"600 Block N St Clair St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1113,9,2,-79.9251036514677,40.4680459929309
237141900,20192792,18,2020-10-15T11:00:00,"3400 Block Spring Garden Ave Pittsburgh, PA 15214",Y,Northview Heights,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 4303 General Lighting Requirements. / 3334 Turning Movements and Required Signals.,2609,,,0,0
237159555,20193589,0,2020-10-16T12:00:00,"500 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,99,9999 9999 - (Misc. Incident): Child Custody,2609,,,0,0
237182233,20193803,11,2020-10-16T13:00:00,"1200 Block Justine St Pittsburgh, PA 15204",N,Crafton Heights,6,THEFT BY DECEPTION,3922 Theft by Deception.,2814,2,5,-80.0555103600011,40.4495369703729
237193598,20193924,18,2020-10-16T19:55:00,"3500 Block California Brg Pittsburgh, PA 15212",Y,Brighton Heights,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession,2703,1,1,-80.0402734714646,40.4782614682453
237205960,20194169,0,2020-10-17T04:01:00,"Madison Ave & Spring Garden Ave Pittsburgh, PA 15212",N,East Allegheny,1,DUI - GENERAL IMPAIRMENT,3714 Careless Driving / 3802(a)(1) DUI - General Impairment,2304,1,1,-79.9978530654772,40.4572646710798
-3319020876,20194200,23,2020-10-17T06:02:00,"4700 Block Bayard St Pittsburgh, PA 15213",Y,Shadyside,4,PUBLIC DRUNKENESS,5505 Public Drunkenness,709,8,2,-79.9487171646789,40.4504022273378
236959578,20192079,27,2020-10-13T16:30:00,"1700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1413,5,3,-79.9231547045145,40.4379249093786
236961951,20192110,0,2020-10-14T09:50:00,"200 Block Morewood Ave Pittsburgh, PA 15224",N,Bloomfield,5,99,9999 9999 - (Misc. Incident): ,804,7,2,-79.9466924880114,40.4559367851886
236966090,20192123,6,2020-10-13T08:30:00,"300 Block Penfort St Pittsburgh, PA 15214",N,Northview Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle,2609,1,1,-80.0019679164087,40.4747944211657
236982310,20192197,6,2020-10-14T08:00:00,"300 Block Winesap St Pittsburgh, PA 15201",N,Central Lawrenceville,2,THEFT FROM AUTO,3934 Theft from Vehicle,902,,,0,0
237004672,20192260,6,2020-10-05T20:00:00,"2800 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,2901,4,3,-79.9775325525589,40.3834499866783
237009333,20192270,11,2020-10-13T20:00:00,"6000 Block Jackson St Pittsburgh, PA 15206",N,Highland Park,5,THEFT BY DECEPTION,3922 Theft by Deception.,1106,7,2,-79.9203399106172,40.4710976401779
-3339002896,20184106,99,2020-10-03T01:53:00,"3400 Block Ligonier St Pittsburgh, PA 15201",N,Lower Lawrenceville,2,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,603,7,2,-79.966507204916,40.4621148376144
235944247,20184744,99,2020-10-03T01:27:00,"Ross St & Forbes Ave Pittsburgh, PA 15219",N,Central Business District,2,MENTAL 201/302,9498 302 (Mental),201,6,6,-79.9960591316118,40.4382355722412
235948280,20184877,14,2020-10-03T04:49:00,"300 Block 4th Ave Pittsburgh, PA 15222",N,Central Business District,2,CRIM MISCHIEF,3304 Criminal Mischief.,201,6,6,-80.0011732962662,40.4391487387533
237335580,20195752,5,2020-10-19T14:00:00,"60 Block E Amanda Ave Pittsburgh, PA 15210",N,Knoxville,3,BURGLARY,3502 Burglary.,3001,3,5,-79.9881209501604,40.4193834289459
237345562,20195824,3,2020-10-19T17:41:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,ROBBERY,3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2901,4,3,-79.9865235535491,40.3931998334253
237356374,20195980,0,2020-10-19T21:30:00,"3600 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,99,9999 9999 - (Misc. Incident): ,405,3,3,-79.9574438099624,40.4402724391202
237358182,20196029,6,2020-10-20T01:00:00,"200 Block Ames St Pittsburgh, PA 15214",Y,Summer Hill,1,THEFT FROM AUTO,3934 Theft from Vehicle,2612,1,1,-80.005779689047,40.4834878188829
237365146,20196097,26,2020-10-20T04:47:00,"Friendship Ave & S Pacific Ave Pittsburgh, PA 15224",N,Bloomfield,5,FLIGHT TO AVOID APPREHENSION/TRIAL/PUNISHMEN,"5126 Flight to Avoid Apprehension, Trial or Punishment. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY)",806,7,2,-79.9403728986632,40.4621141948599
237399807,20196199,99,2020-10-20T09:38:00,"100 Block Ravilla Ave Pittsburgh, PA 15210",N,Carrick,3,FOUND PROPERTY,9489 Found Property,2904,,,0,0
237406376,20196252,6,2020-10-19T18:15:00,"200 Block Spencer Ave Pittsburgh, PA 15227",N,Carrick,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,2904,,,0,0
237417318,20196279,14,2020-10-19T23:00:00,"5700 Block Elwood St Pittsburgh, PA 15232",Y,Shadyside,4,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),705,8,2,-79.931338357203,40.4527522065317
237420831,20196300,27,2020-10-19T11:00:00,"50 Block S 7th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9924889148662,40.4290938440108
237422297,20196316,27,2020-10-20T13:00:00,"1700 Block Suburban Ave Pittsburgh, PA 15216",N,Beechview,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1916,4,5,-80.0201175919156,40.4103655221227
236130973,20185919,0,2020-10-04T22:08:00,"Marshall Ave & California Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,3736 Reckless Driving / 3746 Immediate Notice of Accident to Police Department / 9999 9999 - (Misc. Incident): ,2704,1,1,-80.0309707187485,40.462420021478
236162343,20186691,6,2020-10-06T07:45:00,"100 Block Washington Pl Pittsburgh, PA 15219",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,201,,,-80.0615118313938,40.3440602798926
236168778,20186708,27,2020-10-06T06:35:00,"2800 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,7,6,-79.9752251685523,40.4568522447489
