Date Printed:,,11/3/2020 14:34,,,,,,Allegheny County Health Department
,,,,Daily Summary Report
Site:,Avalon,,,,10/28/2020,,,Interval:,001h
,INT_T,OUT_T,PM25T
Time,DEGC,DEGC,UG/M3
00:00,20.9,8.7,7
01:00,20.8,8.9,10
02:00,20.7,9.0,10
03:00,20.8,9.1,11
04:00,20.8,9.3,11
05:00,20.9,9.5,9
06:00,20.9,9.8,5
07:00,21.0,9.9,5
08:00,21.0,9.6,5
09:00,21.0,9.3,3
10:00,21.1,9.4,
11:00,21.2,9.5,2
12:00,21.5,9.8,4
13:00,21.9,10.7,2
14:00,22.2,11.2,2
15:00,22.4,11.3,6
16:00,22.5,11.4,3
17:00,22.4,11.3,4
18:00,22.4,11.3,8
19:00,22.3,11.0,6
20:00,22.2,10.6,6
21:00,22.1,10.6,6
22:00,22.1,10.7,5
23:00,22.0,10.7,3
Avg,21.5,10.1,5
Max,22.5,11.4,11
Max Time,16:00,16:00,04:00
Min,20.7,8.7,2
Count,24,24,23
Total,,,
Date Printed:,,11/3/2020 14:34,,,,,,Allegheny County Health Department
,,,,Daily Summary Report
Site:,Avalon,,,,10/29/2020,,,Interval:,001h
,INT_T,OUT_T,PM25T
Time,DEGC,DEGC,UG/M3
00:00,22.0,10.6,7
01:00,21.9,10.5,6
02:00,21.8,10.4,7
03:00,21.8,10.3,6
04:00,21.8,10.3,3
05:00,21.7,10.2,5
06:00,21.6,10.2,2
07:00,21.4,10.0,2
08:00,21.3,9.6,4
09:00,21.2,9.3,0
10:00,21.0,9.2,5
11:00,20.9,9.0,3
12:00,20.8,8.7,3
13:00,20.5,8.6,0
14:00,20.4,8.6,1
15:00,20.5,8.9,0
16:00,20.5,8.9,1
17:00,20.4,8.6,4
18:00,20.2,8.3,2
19:00,19.9,8.3,1
20:00,19.7,8.2,3
21:00,19.6,8.0,2
22:00,19.5,7.8,2
23:00,21.3,7.6,0
Avg,20.9,9.1,2
Max,22.0,10.6,7
Max Time,00:00,00:00,02:00
Min,19.5,7.6,0
Count,24,24,24
Total,,,
Date Printed:,,11/3/2020 14:34,,,,,,Allegheny County Health Department
,,,,Daily Summary Report
Site:,Avalon,,,,10/30/2020,,,Interval:,001h
,INT_T,OUT_T,PM25T
Time,DEGC,DEGC,UG/M3
00:00,20.3,7.3,5
01:00,19.8,7.1,4
02:00,21.3,7.0,2
03:00,20.2,7.0,7
04:00,19.7,7.0,3
05:00,21.6,6.5,1
06:00,20.0,6.3,8
07:00,21.2,6.4,0
08:00,20.5,7.1,5
09:00,19.9,7.0,6
10:00,21.0,6.7,6
11:00,20.4,6.8,7
12:00,20.0,7.2,4
13:00,20.8,6.2,3
14:00,20.4,6.2,3
15:00,19.7,6.4,2
16:00,21.2,6.1,0
17:00,20.2,5.6,7
18:00,21.2,5.0,9
19:00,21.3,4.5,10
20:00,20.4,4.3,6
21:00,21.0,4.0,7
22:00,21.6,3.2,7
23:00,21.1,2.2,7
Avg,20.6,5.9,4
Max,21.6,7.3,10
Max Time,22:00,00:00,19:00
Min,19.7,2.2,0
Count,24,24,24
Total,,,
Date Printed:,,11/3/2020 14:34,,,,,,Allegheny County Health Department
,,,,Daily Summary Report
Site:,Avalon,,,,10/31/2020,,,Interval:,001h
,INT_T,OUT_T,PM25T
Time,DEGC,DEGC,UG/M3
00:00,21.0,1.1,8
01:00,22.4,1.1,8
02:00,20.8,.7,12
03:00,22.2,.0,5
04:00,21.2,-.6,7
05:00,22.7,-.9,3
06:00,21.6,-.7,7
07:00,21.9,-.5,7
08:00,20.9,.5,11
09:00,21.5,2.5,9
10:00,20.6,5.7,3
11:00,21.2,7.3,7
12:00,22.5,8.3,6
13:00,22.5,9.5,4
14:00,22.1,10.1,6
15:00,22.1,10.7,5
16:00,22.3,10.6,6
17:00,22.9,8.8,8
18:00,22.1,6.8,30
19:00,21.0,5.7,38
20:00,19.9,5.0,43
21:00,21.4,4.7,42
22:00,20.1,5.0,48
23:00,21.1,4.8,26
Avg,21.5,4.4,14
Max,22.9,10.7,48
Max Time,17:00,15:00,22:00
Min,19.9,-.9,3
Count,24,24,24
Total,,,
